,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
count,801,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801,801,801.0,801.0,781.0,801.0,801,801,703.0,801.0,801.0,801.0,801.0,801,417,781.0,801.0,801.0
unique,482,,,,,,,,,,,,,,,,,,,,,,,34,588,,,,,801,801,,,,,,18,18,,,
top,['Levitate'],,,,,,,,,,,,,,,,,,,,,,,45,Dragon Pokémon,,,,,Fushigidaneフシギダネ,Bulbasaur,,,,,,water,flying,,,
freq,29,,,,,,,,,,,,,,,,,,,,,,,250,8,,,,,1,1,,,,,,114,95,,,
mean,,0.9962546816479401,1.057116104868914,0.968789013732834,1.0739700374531835,1.068976279650437,1.0655430711610487,1.1354556803995006,1.192883895131086,0.9850187265917603,1.034019975031211,1.0980024968789013,1.2081772784019975,0.8870162297128589,0.9753433208489388,1.0053058676654183,1.2503121098626717,0.983458177278402,1.0583645443196006,77.85767790262172,7191.011235955056,65.36204744069913,428.3770287141074,,,73.00873907615481,1054995.9051186019,1.1638924455825865,68.95880149812734,,,55.15576102418208,401.0,71.30586766541823,70.91136079900124,66.33458177278402,,,61.378104993597944,3.690387016229713,0.08739076154806492
std,,0.5972476078279257,0.43814158414011445,0.3530575826676876,0.6549616165097948,0.522166832235294,0.7172508180232743,0.6918526384612678,0.6044878392100282,0.5582564651653185,0.7888959497934436,0.7388181474447942,0.7353561542090226,0.2661061085098709,0.5493752481077557,0.49518298393424975,0.6971481388239288,0.5001166374568772,0.6065619893640908,32.1588202380175,6558.220421815937,19.59894787489233,119.20357658921323,,,30.76915945444535,160255.83509567127,1.080326260646689,26.576014572576486,,,20.26162267725512,231.3730753566629,32.35382632746034,27.942501378203627,28.907661875463354,,,109.35476585346377,1.9304196370300453,0.28258327686638557
min,,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,5.0,1280.0,0.0,180.0,,,5.0,600000.0,0.1,1.0,,,0.0,1.0,10.0,20.0,5.0,,,0.1,1.0,0.0
25%,,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,55.0,5120.0,70.0,320.0,,,50.0,1000000.0,0.6,50.0,,,50.0,201.0,45.0,50.0,45.0,,,9.0,2.0,0.0
50%,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,5120.0,70.0,435.0,,,70.0,1000000.0,1.0,65.0,,,50.0,401.0,65.0,66.0,65.0,,,27.3,4.0,0.0
75%,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,100.0,6400.0,70.0,505.0,,,90.0,1059860.0,1.5,80.0,,,50.0,601.0,91.0,90.0,85.0,,,64.8,5.0,0.0
max,,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,185.0,30720.0,140.0,780.0,,,230.0,1640000.0,14.5,255.0,,,100.0,801.0,194.0,230.0,180.0,,,999.9,7.0,1.0
