,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_values,unique_values
abilities,801,482,['Levitate'],29,,,,,,,,0,482
against_bug,801.0,,,,0.9962546816479401,0.5972476078279257,0.25,0.5,1.0,1.0,4.0,0,5
against_dark,801.0,,,,1.057116104868914,0.43814158414011445,0.25,1.0,1.0,1.0,4.0,0,5
against_dragon,801.0,,,,0.968789013732834,0.3530575826676876,0.0,1.0,1.0,1.0,2.0,0,4
against_electric,801.0,,,,1.0739700374531835,0.6549616165097948,0.0,0.5,1.0,1.0,4.0,0,6
against_fairy,801.0,,,,1.068976279650437,0.522166832235294,0.25,1.0,1.0,1.0,4.0,0,5
against_fight,801.0,,,,1.0655430711610487,0.7172508180232743,0.0,0.5,1.0,1.0,4.0,0,6
against_fire,801.0,,,,1.1354556803995006,0.6918526384612678,0.25,0.5,1.0,2.0,4.0,0,5
against_flying,801.0,,,,1.192883895131086,0.6044878392100282,0.25,1.0,1.0,1.0,4.0,0,5
against_ghost,801.0,,,,0.9850187265917603,0.5582564651653185,0.0,1.0,1.0,1.0,4.0,0,5
against_grass,801.0,,,,1.034019975031211,0.7888959497934436,0.25,0.5,1.0,1.0,4.0,0,5
against_ground,801.0,,,,1.0980024968789013,0.7388181474447942,0.0,1.0,1.0,1.0,4.0,0,6
against_ice,801.0,,,,1.2081772784019975,0.7353561542090226,0.25,0.5,1.0,2.0,4.0,0,5
against_normal,801.0,,,,0.8870162297128589,0.2661061085098709,0.0,1.0,1.0,1.0,1.0,0,4
against_poison,801.0,,,,0.9753433208489388,0.5493752481077557,0.0,0.5,1.0,1.0,4.0,0,6
against_psychic,801.0,,,,1.0053058676654183,0.49518298393424975,0.0,1.0,1.0,1.0,4.0,0,6
against_rock,801.0,,,,1.2503121098626717,0.6971481388239288,0.25,1.0,1.0,2.0,4.0,0,5
against_steel,801.0,,,,0.983458177278402,0.5001166374568772,0.25,0.5,1.0,1.0,4.0,0,5
against_water,801.0,,,,1.0583645443196006,0.6065619893640908,0.25,0.5,1.0,1.0,4.0,0,5
attack,801.0,,,,77.85767790262172,32.1588202380175,5.0,55.0,75.0,100.0,185.0,0,114
base_egg_steps,801.0,,,,7191.011235955056,6558.220421815937,1280.0,5120.0,5120.0,6400.0,30720.0,0,10
base_happiness,801.0,,,,65.36204744069913,19.59894787489233,0.0,70.0,70.0,70.0,140.0,0,6
base_total,801.0,,,,428.3770287141074,119.20357658921323,180.0,320.0,435.0,505.0,780.0,0,203
capture_rate,801,34,45,250,,,,,,,,0,34
classfication,801,588,Dragon Pokémon,8,,,,,,,,0,588
defense,801.0,,,,73.00873907615481,30.76915945444535,5.0,50.0,70.0,90.0,230.0,0,109
experience_growth,801.0,,,,1054995.9051186019,160255.83509567127,600000.0,1000000.0,1000000.0,1059860.0,1640000.0,0,6
height_m,781.0,,,,1.1638924455825865,1.080326260646689,0.1,0.6,1.0,1.5,14.5,20,51
hp,801.0,,,,68.95880149812734,26.576014572576486,1.0,50.0,65.0,80.0,255.0,0,99
japanese_name,801,801,Fushigidaneフシギダネ,1,,,,,,,,0,801
name,801,801,Bulbasaur,1,,,,,,,,0,801
percentage_male,703.0,,,,55.15576102418208,20.26162267725512,0.0,50.0,50.0,50.0,100.0,98,7
pokedex_number,801.0,,,,401.0,231.3730753566629,1.0,201.0,401.0,601.0,801.0,0,801
sp_attack,801.0,,,,71.30586766541823,32.35382632746034,10.0,45.0,65.0,91.0,194.0,0,111
sp_defense,801.0,,,,70.91136079900124,27.942501378203627,20.0,50.0,66.0,90.0,230.0,0,97
speed,801.0,,,,66.33458177278402,28.907661875463354,5.0,45.0,65.0,85.0,180.0,0,113
type1,801,18,water,114,,,,,,,,0,18
type2,417,18,flying,95,,,,,,,,384,18
weight_kg,781.0,,,,61.378104993597944,109.35476585346377,0.1,9.0,27.3,64.8,999.9,20,421
generation,801.0,,,,3.690387016229713,1.9304196370300453,1.0,2.0,4.0,5.0,7.0,0,7
is_legendary,801.0,,,,0.08739076154806492,0.28258327686638557,0.0,0.0,0.0,0.0,1.0,0,2
